Geo Point,Geo Shape,Name,descriptio,lon,lat,linea_esta
"19.3578048629,-99.0934145838","{""type"": ""Point"", ""coordinates"": [-99.09341458381219, 19.357804862929136]}",Iztapalapa,Linea 8,-99.0934145838122,19.3578048629291,Linea 8-Iztapalapa
"19.4149425572,-99.072019868","{""type"": ""Point"", ""coordinates"": [-99.07201986801401, 19.414942557176957]}",Pantitlán,Linea 9,-99.072019868014,19.414942557177,Linea 9-Pantitlán
"19.4084503851,-99.1018606857","{""type"": ""Point"", ""coordinates"": [-99.10186068569874, 19.408450385112257]}",Velódromo,Linea 9,-99.1018606856988,19.4084503851123,Linea 9-Velódromo
"19.4082996983,-99.1130366636","{""type"": ""Point"", ""coordinates"": [-99.11303666363186, 19.408299698261846]}",Mixiuhca,Linea 9,-99.1130366636319,19.4082996982618,Linea 9-Mixiuhca
"19.4089901799,-99.1217259948","{""type"": ""Point"", ""coordinates"": [-99.12172599479221, 19.408990179933046]}",Jamaica,Linea 9,-99.1217259947922,19.408990179933,Linea 9-Jamaica
"19.4084809602,-99.1342235365","{""type"": ""Point"", ""coordinates"": [-99.13422353650077, 19.408480960151586]}",Chabacano,Linea 9,-99.1342235365008,19.4084809601516,Linea 9-Chabacano
"19.4058298767,-99.1686267244","{""type"": ""Point"", ""coordinates"": [-99.16862672437334, 19.405829876697318]}",Chilpancingo,Linea 9,-99.1686267243734,19.4058298766973,Linea 9-Chilpancingo
"19.4028150088,-99.1868492126","{""type"": ""Point"", ""coordinates"": [-99.18684921263363, 19.402815008809426]}",Tacubaya,Linea 9,-99.1868492126336,19.4028150088094,Linea 9-Tacubaya
"19.4044909879,-99.0692558155","{""type"": ""Point"", ""coordinates"": [-99.06925581547272, 19.4044909878633]}",Agrícola Oriental,Linea A,-99.0692558154727,19.4044909878633,Linea A-Agrícola Oriental
"19.3986601997,-99.0591774365","{""type"": ""Point"", ""coordinates"": [-99.05917743646594, 19.398660199651104]}",Canal de San Juan,Linea A,-99.059177436466,19.3986601996511,Linea A-Canal de San Juan
"19.3851076925,-99.0356214611","{""type"": ""Point"", ""coordinates"": [-99.03562146106846, 19.385107692533307]}",Guelatao,Linea A,-99.0356214610685,19.3851076925333,Linea A-Guelatao
"19.5285530049,-99.0303827345","{""type"": ""Point"", ""coordinates"": [-99.03038273450912, 19.528553004942538]}",Plaza Aragón,Linea B,-99.0303827345091,19.5285530049425,Linea B-Plaza Aragón
"19.4856752768,-99.0492557016","{""type"": ""Point"", ""coordinates"": [-99.04925570160356, 19.485675276751714]}",Impulsora,Linea B,-99.0492557016036,19.4856752767517,Linea B-Impulsora
"19.4616374713,-99.0616868595","{""type"": ""Point"", ""coordinates"": [-99.06168685945411, 19.461637471272795]}",Villa de Aragón,Linea B,-99.0616868594541,19.4616374712728,Linea B-Villa de Aragón
"19.4580647247,-99.0695847629","{""type"": ""Point"", ""coordinates"": [-99.06958476288872, 19.458064724730086]}",Bosque de Aragón,Linea B,-99.0695847628888,19.4580647247301,Linea B-Bosque de Aragón
"19.4456635265,-99.0874892178","{""type"": ""Point"", ""coordinates"": [-99.08748921779076, 19.445663526545317]}",Oceanía,Linea B,-99.0874892177908,19.4456635265453,Linea B-Oceanía
"19.4323360317,-99.1132080801","{""type"": ""Point"", ""coordinates"": [-99.11320808007106, 19.432336031706953]}",San Lázaro,Linea B,-99.1132080800711,19.432336031707,Linea B-San Lázaro
"19.4380434241,-99.119113946","{""type"": ""Point"", ""coordinates"": [-99.11911394595589, 19.438043424111125]}",Morelos,Linea B,-99.1191139459559,19.4380434241111,Linea B-Morelos
"19.4432090451,-99.1311143062","{""type"": ""Point"", ""coordinates"": [-99.13111430619755, 19.443209045055326]}",Lagunilla,Linea B,-99.1311143061976,19.4432090450553,Linea B-Lagunilla
"19.4439864371,-99.1401874832","{""type"": ""Point"", ""coordinates"": [-99.140187483212, 19.443986437078053]}",Garibaldi,Linea B,-99.140187483212,19.4439864370781,Linea B-Garibaldi
"19.4452622332,-99.1476958619","{""type"": ""Point"", ""coordinates"": [-99.14769586187441, 19.445262233249032]}",Guerrero,Linea B,-99.1476958618744,19.445262233249,Linea B-Guerrero
